,Hazard,Causes,Impacts,Mitigation
2024-12-11,1,0,0,0
2024-12-13,7,0,0,0
2024-12-14,1,0,0,0
2024-12-18,1,0,0,0
2024-12-22,3,0,0,0
2024-12-27,2,0,0,0
2025-01-05,2,0,0,0
2025-01-06,1,0,0,0
2025-01-07,9,0,0,0
2025-01-08,41,0,0,0
2025-01-09,23,0,0,0
2025-01-10,13,0,0,0
2025-01-11,8,0,0,0
2025-01-12,2,0,0,0
2025-01-13,8,0,0,0
2025-01-14,8,0,0,0
2025-01-15,4,0,0,0
2025-01-16,4,0,0,0
2025-01-17,4,0,0,0
2025-01-18,1,0,0,0
2025-01-19,1,0,0,0
2025-01-20,2,0,0,0
2025-01-21,1,0,0,0
2025-01-22,2,0,0,0
2025-01-23,1,0,0,0
2025-01-24,3,0,0,0
2025-01-25,1,0,0,0
2025-01-26,1,0,0,0
2025-01-27,2,0,0,0
2025-01-28,5,0,0,0
2025-01-29,2,0,0,0
2025-01-30,3,0,0,0
2025-01-31,4,0,0,0
2025-02-01,6,0,0,0
2025-02-03,2,0,0,0
2025-02-04,1,0,0,0
2025-02-05,4,0,0,0
2025-02-06,2,0,0,0
2025-02-10,2,0,0,0
2025-02-13,1,0,0,0
2025-02-16,1,0,0,0
2025-02-19,2,0,0,0
2025-02-20,2,0,0,0
2025-02-22,3,0,0,0
2025-02-23,1,0,0,0
2025-02-24,2,0,0,0
2025-02-25,1,0,0,0
2025-02-26,1,0,0,0
2025-02-27,2,0,0,0
2025-02-28,2,0,0,0
2025-03-01,3,0,0,0
2025-03-02,1,0,0,0
2025-03-03,4,0,0,0
2025-03-04,8,0,0,0
2025-03-05,3,0,0,0
2025-03-06,11,0,0,0
2025-03-07,7,0,0,0
2025-03-08,13,0,0,0
2025-03-09,11,0,0,0
2025-03-10,9,0,0,0
2025-03-11,6,0,0,0
2025-03-12,5,0,0,0
2025-03-13,3,0,0,0
2025-03-14,3,0,0,0
2025-03-15,1,0,0,0
2025-03-17,6,0,0,0
2025-03-18,2,0,0,0
2025-03-19,2,0,0,0
2025-03-21,6,0,0,0
2025-03-22,6,0,0,0
2025-03-23,7,0,0,0
2025-03-24,1,0,0,0
2025-03-25,2,0,0,0
2025-03-26,21,0,0,0
2025-03-27,10,0,0,0
2025-03-28,6,0,0,0
2025-03-29,3,0,0,0
2025-03-30,2,0,0,0
2025-03-31,2,0,0,0
2025-04-02,1,0,0,0
2025-04-04,9,0,0,0
2025-04-05,6,0,0,0
2025-04-06,4,0,0,0
2025-04-07,4,0,0,0
2025-04-08,2,0,0,0
2025-04-10,8,0,0,0
2025-04-11,5,0,0,0
2025-04-12,6,0,0,0
2025-04-13,3,0,0,0
2025-04-14,4,0,0,0
2025-04-15,6,0,0,0
2025-04-17,3,0,0,0
2025-04-18,2,0,0,0
2025-04-23,6,0,0,0
2025-04-24,3,0,0,0
2025-04-29,4,0,0,0
2025-04-30,6,0,0,0
2025-05-01,13,0,0,0
2025-05-02,2,0,0,0
2025-05-03,4,0,0,0
2025-05-04,6,0,0,0
2025-05-05,6,0,0,0
2025-05-08,4,0,0,0
2025-05-09,1,0,0,0
2025-05-10,4,0,0,0
2025-05-12,4,0,0,0
2025-05-13,10,0,0,0
2025-05-14,6,0,0,0
2025-05-15,8,0,0,0
2025-05-16,3,0,0,0
2025-05-19,3,0,0,0
2025-05-20,1,0,0,0
2025-05-21,1,0,0,0
2025-05-23,1,0,0,0
